Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly ()
User Start Date:,2007-01-01T00:00:00Z
User End Date:,2007-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2007-01-01T00:00:00Z&endtime=2007-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D1000)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2007-01-01 00:00:00,162.090588
2007-02-01 00:00:00,174.616298
2007-03-01 00:00:00,179.986338
2007-04-01 00:00:00,182.228622
2007-05-01 00:00:00,155.996407
2007-06-01 00:00:00,131.249072
2007-07-01 00:00:00,110.419775
2007-08-01 00:00:00,112.987462
2007-09-01 00:00:00,116.950001
2007-10-01 00:00:00,124.82879
2007-11-01 00:00:00,142.53591
2007-12-01 00:00:00,150.541794
